ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
20247,JDS4,Real Sample,River water 48 Chiciu - Silistra,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",11,Silistra,Bulgaria,44.134297,27.057112,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.97,27.2,,Danube River Basin,Danube River Basin,,,
20248,JDS4,Real Sample,River water 48 Chiciu - Silistra,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",10,Silistra,Bulgaria,44.134297,27.057112,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.97,27.2,,Danube River Basin,Danube River Basin,,,
20249,JDS4,Real Sample,River water 47 Downstream Ruse - Giurgiu Marten,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",11,Ruse,Bulgaria,43.91083,26.06696,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.03,26.5,,Danube River Basin,Danube River Basin,,,
20250,JDS4,Real Sample,River water 47 Downstream Ruse - Giurgiu Marten,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",10,Ruse,Bulgaria,43.91083,26.06696,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.03,26.5,,Danube River Basin,Danube River Basin,,,
20251,JDS4,Real Sample,River water 46 Russenski Lom mouth,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",11,Ruse,Bulgaria,43.835077,25.93106,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.21,23.8,,Danube River Basin,Danube River Basin,,,
20252,JDS4,Real Sample,River water 46 Russenski Lom mouth,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",10,Ruse,Bulgaria,43.835077,25.93106,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.21,23.8,,Danube River Basin,Danube River Basin,,,
20253,JDS4,Real Sample,River water 45 Jantra mouth,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",11,Svistov,Bulgaria,43.627561,25.56477,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.0,24.7,,Danube River Basin,Danube River Basin,,,
20254,JDS4,Real Sample,River water 45 Jantra mouth,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",10,Svistov,Bulgaria,43.627561,25.56477,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.0,24.7,,Danube River Basin,Danube River Basin,,,
20255,JDS4,Real Sample,River water 44 Iskar mouth,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",11,Pleven,Bulgaria,43.702484,24.45541,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.14,28.0,,Danube River Basin,Danube River Basin,,,
20256,JDS4,Real Sample,River water 44 Iskar mouth,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",10,Pleven,Bulgaria,43.702484,24.45541,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.14,28.0,,Danube River Basin,Danube River Basin,,,
20257,JDS4,Real Sample,River water 43 Pristol - Novo Selo Harbour,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",11,Vidin,Bulgaria,44.16883,22.77937,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.75,26.2,,Danube River Basin,Danube River Basin,,,
20258,JDS4,Real Sample,River water 43 Pristol - Novo Selo Harbour,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",10,Vidin,Bulgaria,44.16883,22.77937,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.75,26.2,,Danube River Basin,Danube River Basin,,,
20259,JDS4,Real Sample,River water 42 Timok mouth,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",11,Vidin,Bulgaria,44.213244,22.67083,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.9,24.6,,Danube River Basin,Danube River Basin,,,
20260,JDS4,Real Sample,River water 42 Timok mouth,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",10,Vidin,Bulgaria,44.213244,22.67083,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.9,24.6,,Danube River Basin,Danube River Basin,,,
20261,JDS4,Real Sample,River water 41 Upstream Timok Rudujevac - Gruia,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",11,Zajecar,Serbia,44.261977,22.680131,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.63,27.8,,Danube River Basin,Danube River Basin,,,
20262,JDS4,Real Sample,River water 41 Upstream Timok Rudujevac - Gruia,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",10,Zajecar,Serbia,44.261977,22.680131,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.63,27.8,,Danube River Basin,Danube River Basin,,,
20263,JDS4,Real Sample,River water 40 Banatska Palanka - Bazias,"Sat, 07/06/2019 - 22:00","Sat, 06/01/2019 - 22:00",11,Pozarevac,Serbia,44.804779,21.380162,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.87,27.0,,Danube River Basin,Danube River Basin,,,
20264,JDS4,Real Sample,River water 40 Banatska Palanka - Bazias,"Sat, 07/06/2019 - 22:00","Sat, 06/01/2019 - 22:00",10,Pozarevac,Serbia,44.804779,21.380162,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.87,27.0,,Danube River Basin,Danube River Basin,,,
20265,JDS4,Real Sample,River water 39 Velika Morava mouth,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",11,Pozarevac,Serbia,44.7114,21.035472,,Whole water with determination on each separate phase (sum of all phases),,,0.1,9.26,27.3,,Danube River Basin,Danube River Basin,,,
20266,JDS4,Real Sample,River water 39 Velika Morava mouth,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",10,Pozarevac,Serbia,44.7114,21.035472,,Whole water with determination on each separate phase (sum of all phases),,,0.1,9.26,27.3,,Danube River Basin,Danube River Basin,,,
20267,JDS4,Real Sample,River water 38 Varvarin,"Sat, 07/06/2019 - 22:00","Sat, 06/01/2019 - 22:00",11,Krusevac,Serbia,43.739599,21.368847,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.75,26.7,,Danube River Basin,Danube River Basin,,,
20268,JDS4,Real Sample,River water 38 Varvarin,"Sat, 07/06/2019 - 22:00","Sat, 06/01/2019 - 22:00",10,Krusevac,Serbia,43.739599,21.368847,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.75,26.7,,Danube River Basin,Danube River Basin,,,
20269,JDS4,Real Sample,River water 36 Jamena Sava mouth,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",11,Belgrade,Serbia,44.795293,20.420803,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.86,26.8,,Danube River Basin,Danube River Basin,,,
20270,JDS4,Real Sample,River water 36 Jamena Sava mouth,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",10,Belgrade,Serbia,44.795293,20.420803,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.86,26.8,,Danube River Basin,Danube River Basin,,,
20271,JDS4,Real Sample,River water 35 Jamena,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",11,Sremska Mitrovica,Serbia,44.877767,19.083919,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.9,21.9,,Danube River Basin,Danube River Basin,,,
20272,JDS4,Real Sample,River water 35 Jamena,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",10,Sremska Mitrovica,Serbia,44.877767,19.083919,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.9,21.9,,Danube River Basin,Danube River Basin,,,
20273,JDS4,Real Sample,River water 34 Jesenice na Dolenjskem,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",11,Zapresic,Croatia,45.86157,15.692091,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.9,21.9,,Danube River Basin,Danube River Basin,,,
20274,JDS4,Real Sample,River water 34 Jesenice na Dolenjskem,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",10,Zapresic,Croatia,45.86157,15.692091,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.9,21.9,,Danube River Basin,Danube River Basin,,,
20275,JDS4,Real Sample,River water 33 Tisza mouth,"Tue, 07/09/2019 - 22:00","Tue, 06/04/2019 - 22:00",11,Zrenjanin,Serbia,45.145604,20.282187,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.66,27.5,,Danube River Basin,Danube River Basin,,,
20276,JDS4,Real Sample,River water 33 Tisza mouth,"Tue, 07/09/2019 - 22:00","Tue, 06/04/2019 - 22:00",10,Zrenjanin,Serbia,45.145604,20.282187,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.66,27.5,,Danube River Basin,Danube River Basin,,,
20277,JDS4,Real Sample,River water 32 Tiszasziget - Martonos,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",11,Szeged,Hungary,46.186105,20.106786,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.03,25.2,,Danube River Basin,Danube River Basin,,,
20278,JDS4,Real Sample,River water 32 Tiszasziget - Martonos,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",10,Szeged,Hungary,46.186105,20.106786,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.03,25.2,,Danube River Basin,Danube River Basin,,,
20279,JDS4,Real Sample,River water 31 Ilok - Backa Palanka,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",11,Ilok,Croatia,45.233948,19.380969,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.16,25.7,,Danube River Basin,Danube River Basin,,,
20280,JDS4,Real Sample,River water 31 Ilok - Backa Palanka,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",10,Ilok,Croatia,45.233948,19.380969,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.16,25.7,,Danube River Basin,Danube River Basin,,,
20281,JDS4,Real Sample,River water 30 Drava 5 km upstream Danube confluence,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",11,Mohacs,Hungary,45.55221,18.86517,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,22.9,,Danube River Basin,Danube River Basin,,,
20282,JDS4,Real Sample,River water 30 Drava 5 km upstream Danube confluence,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",10,Mohacs,Hungary,45.55221,18.86517,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,22.9,,Danube River Basin,Danube River Basin,,,
20283,JDS4,Real Sample,River water 29 Hercegszanto - Batina - Bezdan,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",11,Mohacs,Hungary,45.914079,18.801928,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,23.6,,Danube River Basin,Danube River Basin,,,
20284,JDS4,Real Sample,River water 29 Hercegszanto - Batina - Bezdan,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",10,Mohacs,Hungary,45.914079,18.801928,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,23.6,,Danube River Basin,Danube River Basin,,,
20285,JDS4,Real Sample,River water 28 Baja,"Tue, 07/09/2019 - 22:00","Tue, 06/04/2019 - 22:00",11,Baja,Hungary,46.201182,18.925556,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.6,22.8,,Danube River Basin,Danube River Basin,,,
20286,JDS4,Real Sample,River water 28 Baja,"Tue, 07/09/2019 - 22:00","Tue, 06/04/2019 - 22:00",10,Baja,Hungary,46.201182,18.925556,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.6,22.8,,Danube River Basin,Danube River Basin,,,
20287,JDS4,Real Sample,River water 27 Paks,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",11,Paks,Hungary,46.633827,18.877346,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.6,23.0,,Danube River Basin,Danube River Basin,,,
20288,JDS4,Real Sample,River water 27 Paks,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",10,Paks,Hungary,46.633827,18.877346,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.6,23.0,,Danube River Basin,Danube River Basin,,,
20289,JDS4,Real Sample,River water 26 Dunafoldvar,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",11,Dunafoldvar,Hungary,46.815543,18.924702,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.5,22.8,,Danube River Basin,Danube River Basin,,,
20290,JDS4,Real Sample,River water 26 Dunafoldvar,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",10,Dunafoldvar,Hungary,46.815543,18.924702,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.5,22.8,,Danube River Basin,Danube River Basin,,,
20291,JDS4,Real Sample,River water 25 Tass,"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",11,Dunaujvaros,Hungary,46.033748,18.977803,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.8,26.9,,Danube River Basin,Danube River Basin,,,
20292,JDS4,Real Sample,River water 25 Tass,"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",10,Dunaujvaros,Hungary,46.033748,18.977803,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.8,26.9,,Danube River Basin,Danube River Basin,,,
20293,JDS4,Real Sample,River water 24 Budapest downstream - M0 bridge,"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",11,Budapest,Hungary,47.386701,19.010416,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,22.7,,Danube River Basin,Danube River Basin,,,
20294,JDS4,Real Sample,River water 24 Budapest downstream - M0 bridge,"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",10,Budapest,Hungary,47.386701,19.010416,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,22.7,,Danube River Basin,Danube River Basin,,,
20295,JDS4,Real Sample,River water 23 Budapest upstream - Megyeri Bridge,"Sat, 07/06/2019 - 22:00","Sat, 06/01/2019 - 22:00",11,Budapest,Hungary,47.606306,19.095476,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.5,23.1,,Danube River Basin,Danube River Basin,,,
20296,JDS4,Real Sample,River water 23 Budapest upstream - Megyeri Bridge,"Sat, 07/06/2019 - 22:00","Sat, 06/01/2019 - 22:00",10,Budapest,Hungary,47.606306,19.095476,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.5,23.1,,Danube River Basin,Danube River Basin,,,
20297,JDS4,Real Sample,River water 22 Szob,"Sat, 07/06/2019 - 22:00","Sat, 06/01/2019 - 22:00",11,Esztergom,Hungary,47.815262,18.861795,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.6,22.7,,Danube River Basin,Danube River Basin,,,
20298,JDS4,Real Sample,River water 22 Szob,"Sat, 07/06/2019 - 22:00","Sat, 06/01/2019 - 22:00",10,Esztergom,Hungary,47.815262,18.861795,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.6,22.7,,Danube River Basin,Danube River Basin,,,
20299,JDS4,Real Sample,River water 21 Salka,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",11,Sturovo,Slovakia,47.88596,18.76256,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.2,25.0,,Danube River Basin,Danube River Basin,,,
20300,JDS4,Real Sample,River water 21 Salka,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",10,Sturovo,Slovakia,47.88596,18.76256,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.2,25.0,,Danube River Basin,Danube River Basin,,,
20301,JDS4,Real Sample,River water 20 Kamenica,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",11,Sturovo,Slovakia,47.827052,18.72107,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.5,23.3,,Danube River Basin,Danube River Basin,,,
20302,JDS4,Real Sample,River water 20 Kamenica,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",10,Sturovo,Slovakia,47.827052,18.72107,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.5,23.3,,Danube River Basin,Danube River Basin,,,
20303,JDS4,Real Sample,River water 19 Komarno,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",11,Komarno,Slovakia,47.76091,18.14233,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,25.1,,Danube River Basin,Danube River Basin,,,
20304,JDS4,Real Sample,River water 19 Komarno,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",10,Komarno,Slovakia,47.76091,18.14233,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,25.1,,Danube River Basin,Danube River Basin,,,
20305,JDS4,Real Sample,River water 18 Gonyu,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",11,Komarno,Slovakia,47.746329,17.853306,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.4,21.6,,Danube River Basin,Danube River Basin,,,
20306,JDS4,Real Sample,River water 18 Gonyu,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",10,Komarno,Slovakia,47.746329,17.853306,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.4,21.6,,Danube River Basin,Danube River Basin,,,
20307,JDS4,Real Sample,River water 17 Venek,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",11,Komarno,Slovakia,47.745198,17.807639,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.4,24.3,,Danube River Basin,Danube River Basin,,,
20308,JDS4,Real Sample,River water 17 Venek,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",10,Komarno,Slovakia,47.745198,17.807639,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.4,24.3,,Danube River Basin,Danube River Basin,,,
20309,JDS4,Real Sample,River water 16 Medvedov Medve,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",11,Vel'ky Meder,Slovakia,47.794793,17.659407,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.5,21.3,,Danube River Basin,Danube River Basin,,,
20310,JDS4,Real Sample,River water 16 Medvedov Medve,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",10,Vel'ky Meder,Slovakia,47.794793,17.659407,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.5,21.3,,Danube River Basin,Danube River Basin,,,
20311,JDS4,Real Sample,"River water 15 Cunovo, Gabcikovo resevoir","Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",11,Samorin,Slovakia,48.035975,17.23098,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,20.6,,Danube River Basin,Danube River Basin,,,
20312,JDS4,Real Sample,"River water 15 Cunovo, Gabcikovo resevoir","Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",10,Samorin,Slovakia,48.035975,17.23098,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,20.6,,Danube River Basin,Danube River Basin,,,
20313,JDS4,Real Sample,River water 14 Bratislava,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",11,Bratislava,Slovakia,48.13948,17.104089,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.24,20.4,,Danube River Basin,Danube River Basin,,,
20314,JDS4,Real Sample,River water 14 Bratislava,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",10,Bratislava,Slovakia,48.13948,17.104089,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.24,20.4,,Danube River Basin,Danube River Basin,,,
20315,JDS4,Real Sample,River water 13 Devin,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",11,Stupava,Slovakia,48.191051,16.976016,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.94,23.1,,Danube River Basin,Danube River Basin,,,
20316,JDS4,Real Sample,River water 13 Devin,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",10,Stupava,Slovakia,48.191051,16.976016,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.94,23.1,,Danube River Basin,Danube River Basin,,,
20317,JDS4,Real Sample,River water 12 Lanzhot,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",11,Breclav,Czech Republic,48.687035,16.988535,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.2,25.0,,Danube River Basin,Danube River Basin,,,
20318,JDS4,Real Sample,River water 12 Lanzhot,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",10,Breclav,Czech Republic,48.687035,16.988535,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.2,25.0,,Danube River Basin,Danube River Basin,,,
20319,JDS4,Real Sample,River water 11 Pohansko,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",11,Breclav,Czech Republic,48.723556,16.884981,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.2,24.2,,Danube River Basin,Danube River Basin,,,
20320,JDS4,Real Sample,River water 11 Pohansko,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",10,Breclav,Czech Republic,48.723556,16.884981,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.2,24.2,,Danube River Basin,Danube River Basin,,,
20321,JDS4,Real Sample,"River water 10 Hainburg, upstream Morava","Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",11,Vienna,Austria,48.151363,16.943437,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.3,20.6,,Danube River Basin,Danube River Basin,,,
20322,JDS4,Real Sample,"River water 10 Hainburg, upstream Morava","Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",10,Vienna,Austria,48.151363,16.943437,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.3,20.6,,Danube River Basin,Danube River Basin,,,
20323,JDS4,Real Sample,River water 09 Klosterneuburg,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",11,Vienna,Austria,48.329499,16.332155,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.16,19.3,,Danube River Basin,Danube River Basin,,,
20324,JDS4,Real Sample,River water 09 Klosterneuburg,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",10,Vienna,Austria,48.329499,16.332155,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.16,19.3,,Danube River Basin,Danube River Basin,,,
20325,JDS4,Real Sample,River water 08 Oberloiben,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",11,Vienna,Austria,48.385326,15.533342,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.22,19.3,,Danube River Basin,Danube River Basin,,,
20326,JDS4,Real Sample,River water 08 Oberloiben,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",10,Vienna,Austria,48.385326,15.533342,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.22,19.3,,Danube River Basin,Danube River Basin,,,
20327,JDS4,Real Sample,River water 07 Enghagen,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",11,Linz,Austria,48.241034,14.513545,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.3,18.5,,Danube River Basin,Danube River Basin,,,
20328,JDS4,Real Sample,River water 07 Enghagen,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",10,Linz,Austria,48.241034,14.513545,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.3,18.5,,Danube River Basin,Danube River Basin,,,
20329,JDS4,Real Sample,River water 06 Jochenstein,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",11,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20330,JDS4,Real Sample,River water 06 Jochenstein,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",10,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
