ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth,matrix,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,Sludge total organic carbon (% of total dry weight),Groundwater fraction
23125,Destruction of the Kakhovka Dam LC,Blank Sample,Blank surface water for Kakhovka dam deconstruction project,"Tue, 07/04/2023 - 03:00","Tue, 08/22/2023 - 03:00",10,Kherson,,47.02,32.8,River water,Whole water with determination on each separate phase (sum of all phases),,,,,,,Dnieper river,Dnieper river basin,,,Surface sampling,surface-water,,,,,,
23127,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Kherson in Ukraine after Kakhovka dam deconstruction DnieperII-01,"Thu, 06/15/2023 - 03:00","Sat, 08/26/2023 - 03:00",10,Kherson,,46.63497,32.6335479,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23128,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Bilozirka in Ukraine after Kakhovka dam deconstruction DnieperII-02,"Thu, 06/15/2023 - 03:00","Sat, 08/26/2023 - 03:00",10,Bilozirka,,46.6327228,32.4526822,River water,,,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23129,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Sofiivka in Ukraine after Kakhovka dam deconstruction DnieperII-03,"Thu, 06/15/2023 - 03:00","Sat, 08/26/2023 - 03:00",10,Sofiivka,,46.5899276,32.2622886,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23130,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Radisnyi Sad in Ukraine after Kakhovka dam deconstruction DnieperII-04,"Thu, 06/15/2023 - 03:00","Sat, 08/26/2023 - 03:00",10,Radisnyi Sad,,46.90645,31.993389,River water,,,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23132,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Dmytrivka in Ukraine after Kakhovka dam deconstruction DnieperII-05,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Dmytrivka,,46.631319,31.720542,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,,,,,Spot sampling,surface-water,,,,,,
23133,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Snihurivka in Ukraine after Kakhovka dam deconstruction DnieperII-06,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Snihurivka,,47.075276,32.823702,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23134,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Afanasiivka in Ukraine after Kakhovka dam deconstruction DnieperII-07,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Afanasiivka,,47.0188465,32.8173017,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23135,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Kherson in Ukraine after Kakhovka dam deconstruction DnieperII-08,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Kherson,,46.695732,31.974504,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23136,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Bilozirka in Ukraine after Kakhovka dam deconstruction DnieperII-09,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Bilozirka,,46.632732,32.4526916,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
