ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
23405,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,1-propanol blank,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",10,,,,,,,,,,,,,,,,,
23406,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,1-propanol blank NEG,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
23407,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polyamide leachate with 1-propanol,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",10,,,,,,,,,,,,,,,,,
23409,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polyamide leachate with 1-propanol NEG,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
23410,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polyamide leachate with water,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",10,,,,,,,,,,,,,,,,,
23411,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polyamide leachate with water NEG,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
23412,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polypropylene leachate with 1-propanol,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",10,,,,,,,,,,,,,,,,,
23413,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polypropylene leachate with 1-propanol NEG,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
23414,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polypropylene leachate with 1-propanol aged using UV for 1000h,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",10,,,,,,,,,,,,,,,,,
23415,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polypropylene leachate with 1-propanol aged using UV for 1000h NEG,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
23416,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polypropylene leachate with water,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
23417,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polypropylene leachate with water NEG,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
23418,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polystyrene leachates with 1-propanol,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",10,,,,,,,,,,,,,,,,,
23419,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polystyrene leachates with 1-propanol NEG,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
23420,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polystyrene_leachates with water,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",10,,,,,,,,,,,,,,,,,
23421,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polystyrene_leachates with water NEG,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
23422,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polyvinyl chloride_leachates with water,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",10,,,,,,,,,,,,,,,,,
23423,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polyvinyl chloride_leachates with water NEG,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
23424,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polyvinyl chloride_leachates with 1-propanol,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",10,,,,,,,,,,,,,,,,,
23425,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polyvinyl chloride_leachates with 1-propanol NEG,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
23426,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polyvinyl chloride leachate with 1-propanol aged using UV for 1000h,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",10,,,,,,,,,,,,,,,,,
23427,"Microplastics, leaching of additives and non-intentionally added substances NKUA",Artificial Sample,Polyvinyl chloride leachate with 1-propanol aged using UV for 1000h NEG,"Fri, 05/17/2024 - 12:00","Fri, 06/07/2024 - 12:00",11,,,,,,,,,,,,,,,,,
