ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
23448,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj1,"Wed, 11/15/2023 - 13:00",,23403,,,49.7364,8.5051,River water,,,,,,,,,,,,
23449,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj2,"Wed, 11/15/2023 - 13:00",,23403,,,49.7364,8.5051,River water,,,,,,,,,,,,
23450,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj3,"Wed, 11/15/2023 - 13:00",,23403,,,49.7364,8.5051,River water,,,,,,,,,,,,
23451,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj1,"Wed, 11/15/2023 - 13:00",,23403,,,49.6998,8.5706,River water,,,,,,,,,,,,
23452,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj2,"Wed, 11/15/2023 - 13:00",,23403,,,49.6998,8.5706,River water,,,,,,,,,,,,
23453,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj3,"Wed, 11/15/2023 - 13:00",,23403,,,49.6998,8.5706,River water,,,,,,,,,,,,
23477,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj1,"Wed, 11/15/2023 - 13:00",,23433,,,49.73639999,8.5051,River water,,,,,,,,,,,,
23478,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj2,"Wed, 11/15/2023 - 13:00",,23433,,,49.7364,8.5051,River water,,,,,,,,,,,,
23479,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj3,"Wed, 11/15/2023 - 13:00",,23433,,,49.7364,8.5051,River water,,,,,,,,,,,,
23480,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj1,"Wed, 11/15/2023 - 13:00",,23433,,,49.6998,8.5706,River water,,,,,,,,,,,,
23481,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj2,"Wed, 11/15/2023 - 13:00",,23433,,,49.6998,8.5706,River water,,,,,,,,,,,,
23482,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj3,"Wed, 11/15/2023 - 13:00",,23433,,,49.6998,8.5706,River water,,,,,,,,,,,,
23500,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj1,"Tue, 01/30/2024 - 13:00",,23403,,,49.7364,8.5051,River water,,,,,,,,,,,,
23501,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj2,"Tue, 01/30/2024 - 13:00",,23403,,,49.7364,8.5051,River water,,,,,,,,,,,,
23502,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj3,"Tue, 01/30/2024 - 13:00",,23403,,,49.7364,8.5051,River water,,,,,,,,,,,,
23503,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj1,"Tue, 01/30/2024 - 13:00",,23403,,,49.6998,8.5706,River water,,,,,,,,,,,,
23504,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj2,"Tue, 01/30/2024 - 13:00",,23403,,,49.6998,8.5706,River water,,,,,,,,,,,,
23505,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj3,"Tue, 01/30/2024 - 13:00",,23403,,,49.6998,8.5706,River water,,,,,,,,,,,,
23521,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj1,"Tue, 01/30/2024 - 13:00",,23433,,,49.7364,8.5051,River water,,,,,,,,,,,,
23522,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj2,"Tue, 01/30/2024 - 13:00",,23433,,,49.7364,8.5051,River water,,,,,,,,,,,,
23523,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Winkelbach OF 6 Inj3,"Tue, 01/30/2024 - 13:00",,23433,,,49.7364,8.5051,River water,,,,,,,,,,,,
23524,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj1,"Tue, 01/30/2024 - 13:00",,23433,,,49.6998,8.5706,River water,,,,,,,,,,,,
23525,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj2,"Tue, 01/30/2024 - 13:00",,23433,,,49.6998,8.5706,River water,,,,,,,,,,,,
23526,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Mühl- und Mittelgraben OF 5 Inj3,"Tue, 01/30/2024 - 13:00",,23433,,,49.6998,8.5706,River water,,,,,,,,,,,,
