ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
20915,ILS JDS4 GC,Real Sample,Matrix spike 2000 ng MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20916,ILS JDS4 GC,Real Sample,Matrix spike 200 ng MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20917,ILS JDS4 GC,Real Sample,River water 47 Downstream Ruse - Giurgiu Marten HORIZON,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",132,Ruse,Bulgaria,43.91083,26.06696,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.03,26.5,,Danube River Basin,Danube River Basin,,,
20918,ILS JDS4 GC,Blank Sample,Matrix blank MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20919,ILS JDS4 GC,Real Sample,River water 24 Budapest downstream - M0 bridge HORIZON,"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",132,Budapest,Hungary,47.386701,19.010416,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,22.7,,Danube River Basin,Danube River Basin,,,
20920,ILS JDS4 GC,Real Sample,River water 06 Jochenstein HORIZON,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20921,ILS JDS4 GC,Blank Sample,Blank HORIZON,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20922,ILS JDS4 GC,Real Sample,River water 47 Downstream Ruse - Giurgiu Marten MAXX,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",132,Ruse,Bulgaria,43.91083,26.06696,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.03,26.5,,Danube River Basin,Danube River Basin,,,
20923,ILS JDS4 GC,Real Sample,River water 24 Budapest downstream - M0 bridge MAXX,"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",132,Budapest,Hungary,47.386701,19.010416,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,22.7,,Danube River Basin,Danube River Basin,,,
20924,ILS JDS4 GC,Real Sample,River water 06 Jochenstein MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20925,ILS JDS4 GC,Blank Sample,Blank MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20926,ILS JDS4 GC,Blank Sample,Solvent blank MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20927,ILS JDS4 GC,Real Sample,River water 47 Downstream Ruse - Giurgiu Marten HORIZON,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",132,Ruse,Bulgaria,43.91083,26.06696,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.03,26.5,,Danube River Basin,Danube River Basin,,,
20928,ILS JDS4 GC,Real Sample,River water 24 Budapest downstream - M0 bridge HORIZON,"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",132,Budapest,Hungary,47.386701,19.010416,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,22.7,,Danube River Basin,Danube River Basin,,,
20929,ILS JDS4 GC,Real Sample,River water 06 Jochenstein HORIZON,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20930,ILS JDS4 GC,Blank Sample,Blank HORIZON,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Dissolved fraction,,,0.1,,,,Danube river,,,,
20931,ILS JDS4 GC,Real Sample,Matrix spike 2000 ng MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Dissolved fraction,,,0.1,,,,Danube river,,,,
20932,ILS JDS4 GC,Real Sample,Matrix spike 200 ng MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Dissolved fraction,,,0.1,,,,Danube river,,,,
20933,ILS JDS4 GC,Blank Sample,Matrix blank MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Dissolved fraction,,,0.1,,,,Danube river,,,,
20934,ILS JDS4 GC,Real Sample,River water 47 Downstream Ruse - Giurgiu Marten MAXX,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",132,Ruse,Bulgaria,43.91083,26.06696,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.03,26.5,,Danube River Basin,Danube River Basin,,,
20935,ILS JDS4 GC,Real Sample,River water 24 Budapest downstream - M0 bridge MAXX,"Sun, 07/07/2019 - 22:00","Sun, 06/02/2019 - 22:00",132,Budapest,Hungary,47.386701,19.010416,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.7,22.7,,Danube River Basin,Danube River Basin,,,
20936,ILS JDS4 GC,Real Sample,River water 06 Jochenstein MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.99,18.5,,Danube River Basin,Danube River Basin,,,
20937,ILS JDS4 GC,Blank Sample,Blank MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Dissolved fraction,,,0.1,,,,Danube river,,,,
20938,ILS JDS4 GC,Blank Sample,Solvent blank MAXX,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",132,Passau,Germany,48.5216425,13.7038264,,Dissolved fraction,,,0.07,,,,Danube river,,,,
