ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Sample Matrix,Location,Category,Category.1,Category.2,Proxy pressures,Proxy pressures.1,Proxy pressures.2,matrix
22484,European Dust,Real Sample,House dust 01 from Oslo in Norway,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Oslo,Norway,59.90941,10.8016,,Urban,,,,,,,indoor-air
22485,European Dust,Real Sample,House dust 02 from Oslo in Norway,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Oslo,Norway,59.907406,10.77537,,Urban,,,,,,,indoor-air
22486,European Dust,Real Sample,House dust 03 from Oslo in Norway,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Oslo,Norway,59.916236,10.709084,,Urban,,,,,,,indoor-air
22487,European Dust,Real Sample,House dust 04 from Oslo in Norway,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Oslo,Norway,37.9826199,23.77220501,,Urban,,,,,,,indoor-air
22488,European Dust,Real Sample,House dust 05 from Kjeller in Norway,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Kjeller,Norway,59.940194,10.799848,,Urban,,,,,,,indoor-air
22489,European Dust,Real Sample,House dust 06 from Oslo in Norway,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Oslo,Norway,59.941387,10.82684,,Urban,,,,,,,indoor-air
22490,European Dust,Real Sample,House dust 07 from Olso in Norway,"Fri, 01/17/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Oslo,Norway,59.949858,10.888622,,Urban,,,,,,,indoor-air
22491,European Dust,Real Sample,House dust 08 from Gdansk in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Gdansk,Poland,37.973614,23.775171,,Urban,,,,,,,indoor-air
22492,European Dust,Real Sample,House dust 09 from Gdansk in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Gdansk,Poland,54.348397,18.649304,,Urban,,,,,,,indoor-air
22493,European Dust,Real Sample,House dust 10 from Rumia in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Rumia,Poland,54.349915,18.661075,,Urban,,,,,,,indoor-air
22494,European Dust,Real Sample,House dust 11 from Gdansk in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Gdansk,Poland,37.982618,23.7722,,Urban,,,,,,,indoor-air
22495,European Dust,Real Sample,House dust 12 from Gdansk in Poland,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Gdansk,Poland,37.9736144,23.77517101,,Urban,,,,,,,indoor-air
22496,European Dust,Real Sample,House dust 13 from Birmingham in UK,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Birmingham,UK,52.474032,-1.895795,,Urban,,,,,,,indoor-air
22497,European Dust,Real Sample,House dust 14 from Birmingham in UK,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Birmingham,UK,52.480787,-1.901425,,Urban,,,,,,,indoor-air
22498,European Dust,Real Sample,House dust 15 from Birmingham in UK,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Birmingham,UK,52.481942,-1.892547,,Urban,,,,,,,indoor-air
22499,European Dust,Real Sample,House dust 16 from Paris in France,"Fri, 01/17/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.874252,2.352252,,Urban,,,,,,,indoor-air
22500,European Dust,Real Sample,House dust 17 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,37.9736144,23.77517,,Urban,,,,,,,indoor-air
22501,European Dust,Real Sample,House dust 18 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.83794,2.405638,,Urban,,,,,,,indoor-air
22502,European Dust,Real Sample,House dust 19 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.836674,2.395368,,Urban,,,,,,,indoor-air
22503,European Dust,Real Sample,House dust 20 from Paris in France,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Paris,France,48.885909,2.350795,,Urban,,,,,,,indoor-air
22504,European Dust,Real Sample,House dust 21 from Brno in Czech Republic,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Brno,Czech Republic,49.200051,16.617741,,Urban,,,,,,,indoor-air
22505,European Dust,Real Sample,House dust 22 from Brno in Czech Republic,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Brno,Czech Republic,49.202862,16.60588,,Urban,,,,,,,indoor-air
22506,European Dust,Real Sample,House dust 23 from Brno in Czech Republic,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Brno,Czech Republic,49.203337,16.594569,,Urban,,,,,,,indoor-air
22507,European Dust,Real Sample,House dust 24 from Adamov in Czech Republic,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Adamov,Czech Republic,49.203242,16.598851,,Urban,,,,,,,indoor-air
22508,European Dust,Real Sample,House dust 25 from Brno in Czech Republic,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Brno,Czech Republic,49.19947,16.615214,,Urban,,,,,,,indoor-air
22509,European Dust,Real Sample,House dust 26 from Athens in Greece,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Athens,Greece,37.977918,23.772358,,Urban,,,,,,,indoor-air
22510,European Dust,Real Sample,House dust 27 from Athens in Greece,"Fri, 01/10/2020 - 00:00","Thu, 10/27/2022 - 00:00",10,Athens,Greece,37.980323,23.770237,,Urban,,,,,,,indoor-air
