ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
20710,JDS4 LVSPE,Real Sample,River water 51 Vilkova - Chilia arm Kilia arm,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",96,Reni,Ukraine,45.39702,29.582076,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.85,26.1,,Danube River Basin,Danube River Basin,,,
20711,JDS4 LVSPE,Real Sample,River water 51 Vilkova - Chilia arm Kilia arm,"Sat, 06/29/2019 - 22:00","Sat, 05/25/2019 - 22:00",95,Reni,Ukraine,45.39702,29.582076,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.85,26.1,,Danube River Basin,Danube River Basin,,,
20712,JDS4 LVSPE,Real Sample,River water 50 Reni,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",96,Reni,Ukraine,45.460721,28.252591,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.98,25.4,,Danube River Basin,Danube River Basin,,,
20713,JDS4 LVSPE,Real Sample,River water 50 Reni,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",95,Reni,Ukraine,45.460721,28.252591,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.98,25.4,,Danube River Basin,Danube River Basin,,,
20714,JDS4 LVSPE,Real Sample,River water 49 Giurgiulesti,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",96,Galati,Romania,45.471361,28.196357,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.87,25.3,,Danube River Basin,Danube River Basin,,,
20715,JDS4 LVSPE,Real Sample,River water 49 Giurgiulesti,"Sun, 06/30/2019 - 22:00","Sun, 05/26/2019 - 22:00",95,Galati,Romania,45.471361,28.196357,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.87,25.3,,Danube River Basin,Danube River Basin,,,
20716,JDS4 LVSPE,Real Sample,River water 48 Chiciu - Silistra,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",96,Svistov,Bulgaria,44.134297,27.057112,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.97,27.2,,Danube River Basin,Danube River Basin,,,
20717,JDS4 LVSPE,Real Sample,River water 48 Chiciu - Silistra,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",95,Svistov,Bulgaria,44.134297,27.057112,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.97,27.2,,Danube River Basin,Danube River Basin,,,
20718,JDS4 LVSPE,Real Sample,River water 47 Downstream Ruse - Giurgiu Marten,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",96,Svistov,Bulgaria,43.91083,26.06696,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.03,26.5,,Danube River Basin,Danube River Basin,,,
20719,JDS4 LVSPE,Real Sample,River water 47 Downstream Ruse - Giurgiu Marten,"Tue, 07/02/2019 - 22:00","Tue, 05/28/2019 - 22:00",95,Svistov,Bulgaria,43.91083,26.06696,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.03,26.5,,Danube River Basin,Danube River Basin,,,
20720,JDS4 LVSPE,Real Sample,River water 46 Russenski Lom mouth,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",96,Svistov,Bulgaria,43.835077,25.93106,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.21,23.8,,Danube River Basin,Danube River Basin,,,
20721,JDS4 LVSPE,Real Sample,River water 46 Russenski Lom mouth,"Mon, 07/01/2019 - 22:00","Mon, 05/27/2019 - 22:00",95,Svistov,Bulgaria,43.835077,25.93106,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.21,23.8,,Danube River Basin,Danube River Basin,,,
20722,JDS4 LVSPE,Real Sample,River water 45 Jantra mouth,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",96,Svistov,Bulgaria,43.627561,25.56477,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.0,24.7,,Danube River Basin,Danube River Basin,,,
20723,JDS4 LVSPE,Real Sample,River water 45 Jantra mouth,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",95,Svistov,Bulgaria,43.627561,25.56477,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.0,24.7,,Danube River Basin,Danube River Basin,,,
20724,JDS4 LVSPE,Real Sample,River water 44 Iskar mouth,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",96,Vidin,Bulgaria,43.702484,24.45541,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.14,28.0,,Danube River Basin,Danube River Basin,,,
20725,JDS4 LVSPE,Real Sample,River water 44 Iskar mouth,"Wed, 07/03/2019 - 22:00","Wed, 05/29/2019 - 22:00",95,Vidin,Bulgaria,43.702484,24.45541,,Whole water with determination on each separate phase (sum of all phases),,,0.1,8.14,28.0,,Danube River Basin,Danube River Basin,,,
20726,JDS4 LVSPE,Real Sample,River water 43 Pristol - Novo Selo Harbour,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",96,Vidin,Bulgaria,44.16883,22.77937,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.75,26.2,,Danube River Basin,Danube River Basin,,,
20727,JDS4 LVSPE,Real Sample,River water 43 Pristol - Novo Selo Harbour,"Thu, 07/04/2019 - 22:00","Thu, 05/30/2019 - 22:00",95,Vidin,Bulgaria,44.16883,22.77937,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.75,26.2,,Danube River Basin,Danube River Basin,,,
20728,JDS4 LVSPE,Real Sample,River water 42 Timok mouth,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",96,Vidin,Bulgaria,44.213244,22.67083,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.9,24.6,,Danube River Basin,Danube River Basin,,,
20729,JDS4 LVSPE,Real Sample,River water 42 Timok mouth,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",95,Vidin,Bulgaria,44.213244,22.67083,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.9,24.6,,Danube River Basin,Danube River Basin,,,
20730,JDS4 LVSPE,Real Sample,River water 41 Upstream Timok Rudujevac - Gruia,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",96,Krusevac,Serbia,44.261977,22.680131,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.63,27.8,,Danube River Basin,Danube River Basin,,,
20731,JDS4 LVSPE,Real Sample,River water 41 Upstream Timok Rudujevac - Gruia,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",95,Krusevac,Serbia,44.261977,22.680131,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.63,27.8,,Danube River Basin,Danube River Basin,,,
20732,JDS4 LVSPE,Real Sample,River water 40 Banatska Palanka - Bazias,"Sat, 07/06/2019 - 22:00","Sat, 06/01/2019 - 22:00",96,Krusevac,Serbia,44.804779,21.380162,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.87,27.0,,Danube River Basin,Danube River Basin,,,
20733,JDS4 LVSPE,Real Sample,River water 40 Banatska Palanka - Bazias,"Sat, 07/06/2019 - 22:00","Sat, 06/01/2019 - 22:00",95,Krusevac,Serbia,44.804779,21.380162,,Whole water with determination on each separate phase (sum of all phases),,,0.1,7.87,27.0,,Danube River Basin,Danube River Basin,,,
20734,JDS4 LVSPE,Real Sample,River water 39 Velika Morava mouth,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",96,Krusevac,Serbia,44.7114,21.035472,,Whole water with determination on each separate phase (sum of all phases),,,0.1,9.26,27.3,,Danube River Basin,Danube River Basin,,,
20735,JDS4 LVSPE,Real Sample,River water 39 Velika Morava mouth,"Fri, 07/05/2019 - 22:00","Fri, 05/31/2019 - 22:00",95,Krusevac,Serbia,44.7114,21.035472,,Whole water with determination on each separate phase (sum of all phases),,,0.1,9.26,27.3,,Danube River Basin,Danube River Basin,,,
