ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
23398,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGeW1,"Wed, 03/13/2024 - 14:20","Wed, 03/20/2024 - 01:00",23250,,,,,River water,,,,,,,,,,,,
23399,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew2_1 early sampling,"Wed, 03/13/2024 - 15:08","Wed, 03/20/2024 - 01:00",23250,,Germany,,,River water,,,,,,,,,,,,
23400,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew2_2 late sampling,"Wed, 03/13/2024 - 16:32","Wed, 03/20/2024 - 01:00",23250,,Germany,,,River water,,,,,,,,,,,,
23401,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew3_1 early sampling,"Wed, 03/13/2024 - 15:56","Wed, 03/20/2024 - 01:00",23250,,Germany,,,River water,,,,,,,,,,,,
23402,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew3_2 late sampling,"Wed, 03/13/2024 - 18:37","Wed, 03/20/2024 - 01:00",23250,,Germany,,,River water,,,,,,,,,,,,
25335,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew4_1 early sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23250,,Germany,,,River water,,,,,,,,,,,,
25336,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew4_1 late sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23250,,Germany,,,River water,,,,,,,,,,,,
25337,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew5_1 early sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23250,,Germany,,,River water,,,,,,,,,,,,
25338,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew5_1 late sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23250,,Germany,,,River water,,,,,,,,,,,,
25339,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,channel near sewage treatment plant,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23250,,Germany,,,Other,,,,,,,,,,,,
25347,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,channel near seqage treatment plant,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,,,,,,,,,,,,,
25350,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGeW1,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,River water,,,,,,,,,,,,
25351,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew2_1 early sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,River water,,,,,,,,,,,,
25352,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew2_2 late sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,River water,,,,,,,,,,,,
25353,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew3_1 early sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,River water,,,,,,,,,,,,
25354,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew3_2 late sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,River water,,,,,,,,,,,,
25355,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew4_1 early sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,River water,,,,,,,,,,,,
25356,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew4_1 late sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,River water,,,,,,,,,,,,
25357,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew5_1 early sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,River water,,,,,,,,,,,,
25358,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,surface water OGew5_1 late sampling,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,River water,,,,,,,,,,,,
25359,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign March 2024",Real Sample,groundwater sample TB,"Wed, 03/13/2024 - 13:00","Wed, 03/20/2024 - 13:00",23251,,Germany,,,River water,,,,,,,,,,,,
