ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight),matrix,Alive or not,Basis of measurement,Biota species name (in Latin),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea"
21411,Dniester Monitoring,Blank Sample,Procedural blank sediment Dniester,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",11,Odesa,Ukraine,46.47,30.73,Dniester river basin,(Whole) Fraction < 2mm,,,Dniester river basin,,Spot sampling,,0.5,,sediment,,,,,,,,,,,,,,,,,,,,,
21412,Dniester Monitoring,Blank Sample,Procedural blank sediment Dniester,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",10,Odesa,Ukraine,46.47,30.73,Dniester river basin,(Whole) Fraction < 2mm,,,Dniester river basin,,Spot sampling,,0.5,,sediment,,,,,,,,,,,,,,,,,,,,,
21413,Dniester Monitoring,Real Sample,Sediment from Station 12 Ustia,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",11,Chisinau,Moldova,47.25222222,29.13527778,Dniester river basin,(Whole) Fraction < 2mm,,,Dniester river basin,,Spot sampling,,0.5,,sediment,,,,,,,,,,,,,,,,,,,,,
21414,Dniester Monitoring,Real Sample,Sediment from Station 12 Ustia,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",10,Chisinau,Moldova,47.25222222,29.13527778,Dniester river basin,(Whole) Fraction < 2mm,,,Dniester river basin,,Spot sampling,,0.5,,sediment,,,,,,,,,,,,,,,,,,,,,
21415,Dniester Monitoring,Real Sample,Sediment from Station 06 Shabo,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",11,Bilhorod-Dnistrovs'kyy,Ukraine,46.13444444,30.37111111,Dniester river basin,(Whole) Fraction < 2mm,,,Dniester river basin,,Spot sampling,,0.5,,sediment,,,,,,,,,,,,,,,,,,,,,
21416,Dniester Monitoring,Real Sample,Sediment from Station 06 Shabo,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",10,Bilhorod-Dnistrovs'kyy,Ukraine,46.13444444,30.37111111,Dniester river basin,(Whole) Fraction < 2mm,,,Dniester river basin,,Spot sampling,,0.5,,sediment,,,,,,,,,,,,,,,,,,,,,
21417,Dniester Monitoring,Real Sample,Sediment from Station 05 Cioburciu,"Mon, 05/27/2019 - 22:00","Mon, 04/22/2019 - 22:00",11,Tiraspol',Moldova,46.60027778,29.72138889,Dniester river basin,(Whole) Fraction < 2mm,,,Dniester river basin,,Spot sampling,,0.5,,sediment,,,,,,,,,,,,,,,,,,,,,
21418,Dniester Monitoring,Real Sample,Sediment from Station 05 Cioburciu,"Mon, 05/27/2019 - 22:00","Mon, 04/22/2019 - 22:00",10,Tiraspol',Moldova,46.60027778,29.72138889,Dniester river basin,(Whole) Fraction < 2mm,,,Dniester river basin,,Spot sampling,,0.5,,sediment,,,,,,,,,,,,,,,,,,,,,
21419,Dniester Monitoring,Real Sample,Sediment from Station 02 Zalishchyky Park,"Mon, 05/27/2019 - 22:00","Mon, 04/22/2019 - 22:00",11,Zalishchyky,Ukraine,48.63444444,25.73555556,Dniester river basin,(Whole) Fraction < 2mm,,,Dniester river basin,,Spot sampling,,0.5,,sediment,,,,,,,,,,,,,,,,,,,,,
21420,Dniester Monitoring,Real Sample,Sediment from Station 02 Zalishchyky Park,"Mon, 05/27/2019 - 22:00","Mon, 04/22/2019 - 22:00",10,Zalishchyky,Ukraine,48.63444444,25.73555556,Dniester river basin,(Whole) Fraction < 2mm,,,Dniester river basin,,Spot sampling,,0.5,,sediment,,,,,,,,,,,,,,,,,,,,,
